Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,14.340000,14.340000,14.340000,14.340000,4.794898,0
1980-01-03,14.270000,14.270000,14.270000,14.270000,4.771492,0
1980-01-04,14.450000,14.450000,14.450000,14.450000,4.831676,0
1980-01-07,14.490000,14.490000,14.490000,14.490000,4.845054,0
1980-01-08,14.780000,14.780000,14.780000,14.780000,4.942023,0
1980-01-09,14.800000,14.800000,14.800000,14.800000,4.948709,0
1980-01-10,14.910000,14.910000,14.910000,14.910000,4.985490,0
1980-01-11,14.910000,14.910000,14.910000,14.910000,4.985490,0
1980-01-14,14.980000,14.980000,14.980000,14.980000,5.008895,0
1980-01-15,15.080000,15.080000,15.080000,15.080000,5.042333,0
1980-01-16,15.070000,15.070000,15.070000,15.070000,5.038990,0
1980-01-17,15.020000,15.020000,15.020000,15.020000,5.022269,0
1980-01-18,15.070000,15.070000,15.070000,15.070000,5.038990,0
1980-01-21,15.210000,15.210000,15.210000,15.210000,5.085800,0
1980-01-22,15.140000,15.140000,15.140000,15.140000,5.062395,0
1980-01-23,15.400000,15.400000,15.400000,15.400000,5.149332,0
1980-01-24,15.430000,15.430000,15.430000,15.430000,5.159361,0
1980-01-25,15.420000,15.420000,15.420000,15.420000,5.156018,0
1980-01-28,15.600000,15.600000,15.600000,15.600000,5.216206,0
1980-01-29,15.490000,15.490000,15.490000,15.490000,5.179428,0
1980-01-30,15.650000,15.650000,15.650000,15.650000,5.232923,0
1980-01-31,15.510000,15.510000,15.510000,15.510000,5.186112,0
1980-02-01,15.650000,15.650000,15.650000,15.650000,5.232923,0
1980-02-04,15.570000,15.570000,15.570000,15.570000,5.206172,0
1980-02-05,15.620000,15.620000,15.620000,15.620000,5.222891,0
1980-02-06,15.770000,15.770000,15.770000,15.770000,5.273049,0
1980-02-07,15.850000,15.850000,15.850000,15.850000,5.299799,0
1980-02-08,16.090000,16.090000,16.090000,16.090000,5.380046,0
1980-02-11,15.980000,15.980000,15.980000,15.980000,5.343267,0
1980-02-12,16.080000,16.080000,16.080000,16.080000,5.376705,0
1980-02-13,16.160000,16.160000,16.160000,16.160000,5.403454,0
1980-02-14,15.930000,15.930000,15.930000,15.930000,5.326550,0
1980-02-15,15.760000,15.760000,15.760000,15.760000,5.269706,0
1980-02-19,15.650000,15.650000,15.650000,15.650000,5.232923,0
1980-02-20,15.910000,15.910000,15.910000,15.910000,5.319862,0
1980-02-21,15.750000,15.750000,15.750000,15.750000,5.266364,0
1980-02-22,15.710000,15.710000,15.710000,15.710000,5.252988,0
1980-02-25,15.510000,15.510000,15.510000,15.510000,5.186112,0
1980-02-26,15.600000,15.600000,15.600000,15.600000,5.216206,0
1980-02-27,15.390000,15.390000,15.390000,15.390000,5.145990,0
1980-02-28,15.380000,15.380000,15.380000,15.380000,5.142643,0
1980-02-29,15.570000,15.570000,15.570000,15.570000,5.206172,0
1980-03-03,15.410000,15.410000,15.410000,15.410000,5.152675,0
1980-03-04,15.460000,15.460000,15.460000,15.460000,5.169393,0
1980-03-05,15.240000,15.240000,15.240000,15.240000,5.095832,0
1980-03-06,14.900000,14.900000,14.900000,14.900000,4.982145,0
1980-03-07,14.670000,14.670000,14.670000,14.670000,4.905238,0
1980-03-10,14.630000,14.630000,14.630000,14.630000,4.891865,0
1980-03-11,14.800000,14.800000,14.800000,14.800000,4.948709,0
1980-03-12,14.680000,14.680000,14.680000,14.680000,4.908587,0
1980-03-13,14.510000,14.510000,14.510000,14.510000,4.851739,0
1980-03-14,14.480000,14.480000,14.480000,14.480000,4.841711,0
1980-03-17,14.050000,14.050000,14.050000,14.050000,4.697927,0
1980-03-18,14.300000,14.300000,14.300000,14.300000,4.781524,0
1980-03-19,14.330000,14.330000,14.330000,14.330000,4.791552,0
1980-03-20,14.160000,14.160000,14.160000,14.160000,4.734712,0
1980-03-21,14.060000,14.060000,14.060000,14.060000,4.701278,0
1980-03-24,13.650000,13.650000,13.650000,13.650000,4.564179,0
1980-03-25,13.640000,13.640000,13.640000,13.640000,4.560835,0
1980-03-26,13.570000,13.570000,13.570000,13.570000,4.537431,0
1980-03-27,13.690000,13.690000,13.690000,13.690000,4.632174,0
